Media Category,Sentiment/Emotion,Quotation_Sum,Quotation_Count,Quotation_SD,Quotation_SEM,Fulltext_Sum,Fulltext_Count,Fulltext_SD,Fulltext_SEM,Quotation_Average,Fulltext_Average
Left,joy,2374.0,2556,1.298658149652127,0.02568706120451854,884,790,0.8490770280640507,0.03020880497818854,0.9287949921752738,1.1189873417721519
Left,sadness,5745.0,2556,1.994536168288689,0.039451315685487744,3865,790,1.6134158830365655,0.05740276105513335,2.2476525821596245,4.8924050632911396
Left,anger,3072.0,2556,1.3522223479312903,0.026746544672078036,1836,790,1.2025759413739583,0.042785731899093314,1.2018779342723005,2.3240506329113924
Left,fear,8578.0,2556,2.1503212534211884,0.04253269704641138,4493,790,1.2515001987331236,0.04452637886093084,3.356025039123631,5.687341772151899
Left,surprise,4837.0,2556,1.3875900569216921,0.027446107144113815,2635,790,1.0207651364530972,0.03631719374855055,1.8924100156494523,3.3354430379746836
Left,disgust,3526.0,2556,1.5630125158976227,0.030915909756578784,2352,790,1.232013753059769,0.04383308223694065,1.3794992175273866,2.9772151898734176
Left,trust,7710.0,2556,2.056283374133473,0.04067265654117625,3159,790,1.2850898555561208,0.04572144521970843,3.016431924882629,3.99873417721519
Left,anticipation,8080.0,2556,1.4317602353626713,0.028319779770995545,3602,790,1.0849259800047049,0.03859993411959304,3.161189358372457,4.559493670886076
Left,negative_sentiment,8777.0,2556,2.4310311165361354,0.04808505232672682,4704,790,1.4241976789525026,0.05067067946940078,3.433881064162754,5.954430379746835
Left,positive_sentiment,5560.0,2556,1.838006802273379,0.03635521267622638,1896,790,1.0278751138553472,0.03657015539236469,2.1752738654147104,2.4
Scientific,joy,454.0,462,1.1311613365611208,0.052626388154167675,179,134,0.7453518102640213,0.06438858948369967,0.9826839826839827,1.335820895522388
Scientific,sadness,848.0,462,1.4381672443675935,0.06690959563981624,560,134,1.3368729435506745,0.11548823249474398,1.8354978354978355,4.17910447761194
Scientific,anger,526.0,462,1.2065747211734694,0.05613493633589254,345,134,1.2999529527151392,0.11229883105918675,1.1385281385281385,2.574626865671642
Scientific,fear,1432.0,462,2.013738019212406,0.0936875715378118,752,134,1.2500252494363788,0.10798573441675516,3.0995670995670994,5.611940298507463
Scientific,surprise,839.0,462,1.3101981700562748,0.06095593548651672,470,134,1.10872322869387,0.09577909899772558,1.816017316017316,3.5074626865671643
Scientific,disgust,531.0,462,1.2151384281450786,0.056533356041870625,359,134,1.0732618139732653,0.09271569934736792,1.1493506493506493,2.6791044776119404
Scientific,trust,1450.0,462,1.8925210716921217,0.08804804875279558,563,134,1.3752913607710764,0.1188070782544956,3.1385281385281387,4.201492537313433
Scientific,anticipation,1507.0,462,1.3889160896692552,0.06461822455028143,663,134,0.8869747873361408,0.07662295130664336,3.261904761904762,4.947761194029851
Scientific,negative_sentiment,1407.0,462,2.10259908087408,0.09782176227758345,739,134,1.3695675988876168,0.11831262053782893,3.0454545454545454,5.514925373134329
Scientific,positive_sentiment,1043.0,462,1.6974834537023455,0.07897407755413481,385,134,1.036344368920464,0.08952651783394296,2.257575757575758,2.873134328358209
Right,joy,1423.0,1445,1.2826524877631655,0.033742331225266535,495,461,0.856550726700474,0.03989354455009362,0.9847750865051903,1.0737527114967462
Right,sadness,3052.0,1445,1.9280402947845354,0.05072034308819947,2118,461,1.5791751673535395,0.07354952010127704,2.1121107266435986,4.594360086767896
Right,anger,1547.0,1445,1.199261083673778,0.031548580068995656,1018,461,1.153452922834199,0.053721658425039016,1.0705882352941176,2.2082429501084597
Right,fear,4804.0,1445,2.128291463380064,0.05598828691823915,2616,461,1.239909760538636,0.05774835480052207,3.3245674740484428,5.674620390455531
Right,surprise,2551.0,1445,1.3637242006450754,0.03587505900239943,1511,461,0.9829634318557109,0.04578117119917098,1.7653979238754325,3.27765726681128
Right,disgust,1825.0,1445,1.4278757259467978,0.03756267278398706,1357,461,1.210940725364818,0.05639913232104121,1.2629757785467128,2.943600867678959
Right,trust,4852.0,1445,2.1546871078862337,0.056682668746776965,1887,461,1.3408215797502463,0.06244828678336786,3.3577854671280276,4.093275488069414
Right,anticipation,4683.0,1445,1.4643007188395591,0.038520893492083076,2085,461,1.104349942556199,0.0514347046344461,3.2408304498269898,4.522776572668112
Right,negative_sentiment,4745.0,1445,2.3977233864065837,0.06307614686171902,2691,461,1.4467341517167756,0.0673811270419218,3.283737024221453,5.837310195227766
Right,positive_sentiment,3374.0,1445,1.8622740099946171,0.048990250342106904,1105,461,1.1174074695405452,0.0520428542959036,2.334948096885813,2.3969631236442517
Center,joy,1371.0,1434,1.326163847191403,0.03502052147535087,673,648,1.005422311500188,0.03949671857877979,0.9560669456066946,1.0385802469135803
Center,sadness,3162.0,1434,1.9019444726258752,0.05022538307734915,2964,648,1.4722809504226775,0.05783665799198058,2.205020920502092,4.574074074074074
Center,anger,1649.0,1434,1.2125089457376053,0.03201919254788,1299,648,0.8142719518742718,0.03198762327223909,1.1499302649930265,2.0046296296296298
Center,fear,4827.0,1434,2.0848693752735317,0.05505595170966095,3619,648,1.2477688217968546,0.04901698862476137,3.3661087866108788,5.584876543209877
Center,surprise,2597.0,1434,1.346413890799359,0.03555527220660562,2063,648,0.8605618064842291,0.033806060499730214,1.8110181311018132,3.183641975308642
Center,disgust,1861.0,1434,1.3812251353359453,0.03647454620088549,1824,648,1.0634999360745485,0.04177822314387628,1.297768479776848,2.814814814814815
Center,trust,4495.0,1434,2.0755151215338303,0.05480893031432516,2488,648,1.3603508059552978,0.05343962664908757,3.1345885634588564,3.8395061728395063
Center,anticipation,4612.0,1434,1.4179057953865253,0.037443186573454766,2938,648,1.0185702972386979,0.04001322023848226,3.2161785216178522,4.533950617283951
Center,negative_sentiment,4833.0,1434,2.3625323913252543,0.06238830633321947,3742,648,1.47367677700309,0.05789149123866781,3.3702928870292888,5.7746913580246915
Center,positive_sentiment,3170.0,1434,1.866141345143971,0.04927991604661974,1480,648,1.223010377697729,0.04804438508508805,2.210599721059972,2.2839506172839505
