Sentiment,Correlation
joy,0.3635875616892028
sadness,0.9328958521348946
anger,0.11784219433712093
fear,0.29405704153399354
surprise,0.18037282928758328
disgust,0.8452556778348285
trust,0.27672258670240835
anticipation,0.583371334850835
negative_sentiment,0.9370376898839755
positive_sentiment,0.1808054563908654
