Sentiment,Correlation
joy,0.42041280653812185
sadness,0.9400334454734232
anger,0.6935265635080501
fear,0.7146883439262266
surprise,0.5073375037657868
disgust,0.8584930762595051
trust,0.4489986323659112
anticipation,0.8514206166780862
negative_sentiment,0.9236618787684587
positive_sentiment,0.7864659838206741
